RegioNaam,RegioCode,Amsterdamsecode,Partij,AantalZetels,Website,Facebook,Engine,Feed,Full_content
"Epe","G0232","10940","Dorpspartij","1","https://www.dorpspartijepe.nl/",,,,
"Epe","G0232","10940","Gemeentebelangen Epe","1","http://www.gemeentebelangen-epe.nl/","https://www.facebook.com/Gemeentebelangen-Epe-452415288429953/",,,
"Ermelo","G0233","10732","Progressief Ermelo","4","http://progressiefermelo.nl/","https://www.facebook.com/ProgressiefErmelo/","wordpress","http://progressiefermelo.nl/feed/",true
"Ermelo","G0233","10732","BurgerBelangen Ermelo","3","https://www.burgerbelangenermelo.nl/",,"wordpress","https://www.burgerbelangenermelo.nl/feed/",true
"Ermelo","G0233","10732","Ermelo-Liberaal","",,"https://www.facebook.com/ermeloliberaal/",,,
"Ermelo","G0233","10732","Groep Hop","","http://www.burojeugdzorg.nl/",,,,
"Etten-Leur","G0777","10750","APB","6","https://www.apbetten-leur.nl/","https://www.facebook.com/apbettenleur.ettenleur/","powered","https://www.apbetten-leur.nl/feed/",true
"Etten-Leur","G0777","10750","Ons Etten-Leur","5","https://www.ons-etten-leur.nl/","https://www.facebook.com/onsettenleur/",,,
"Etten-Leur","G0777","10750","Leefbaar Etten-Leur","2","https://www.leefbaarettenleur.nl/","https://www.facebook.com/Leefbaar-Etten-Leur-1545504802366964/",,"https://www.leefbaarettenleur.nl/rss/blog",true
"Geertruidenberg","G0779","10101","Keerpunt74","5","https://keerpunt74.nl/",,,,
"Geertruidenberg","G0779","10101","Lokaal+","4","https://lokaal-plus.nl/","https://www.facebook.com/LokaalPlusGeertruidenberg/",,"https://lokaal-plus.nl/feed/",true
"Geertruidenberg","G0779","10101","Morgen!","3","https://www.morgeningeertruidenberg.nl/","https://www.facebook.com/morgeningeertruidenberg/","wix.com","https://www.morgeningeertruidenberg.nl/feed.xml",true
"Geertruidenberg","G0779","10101","Blanco lijst 7","1","http://www.lijstblanco.nl/","https://www.facebook.com/SVP.Geertruidenberg/",,,
"Geldrop-Mierlo","G1771","10529","Democratische Groepering Geldrop","5","http://www.dgg-geldrop-mierlo.nl/","https://www.facebook.com/DGG.Geldrop/posts",,,
"Geldrop-Mierlo","G1771","10529","DPM (Dorpspartij Mierlo)","3",,"https://www.facebook.com/dorpspartijmierlo/posts",,,
"Geldrop-Mierlo","G1771","10529","SAMEN","2","http://samengeldropmierlo.nl/",,,,
"Gemert-Bakel","G1652","10277","Dorpspartij","4","https://www.dorpspartij.nl/","https://www.facebook.com/Dorpspartij/posts",,"https://www.dorpspartij.nl/home/feed/",false
"Gemert-Bakel","G1652","10277","Lokale Realisten & D66","4","http://www.lokalerealisten.nl/","https://www.facebook.com/d66gb/",,,
"Gilze en Rijen","G0784","11375","Gemeentebelang","5",,,,,
"Gilze en Rijen","G0784","11375","Kern'75","5","https://kern75.nl/",,,,
"Goeree-Overflakkee","G1924","11067","Vitale Kernen Goeree Overflakkee","6","http://www.vk-go.nl/","https://www.facebook.com/VitaleKernenGO/",,"http://www.vk-go.nl/feed/",false
"Goeree-Overflakkee","G1924","11067","Eiland van Vrijheid","2",,"https://www.facebook.com/pages/category/Personal-Blog/Eiland-van-Vrijheid-527840724246093/",,,
"Goeree-Overflakkee","G1924","11067","Blanco lijst 10","1","http://www.lijstblanco.nl/",,,,
"Goeree-Overflakkee","G1924","11067","Goeree Overflakkee Samen (GOS)","",,"https://www.facebook.com/vriendenvangoereeoverflakkeesamen/",,,
"Goeree-Overflakkee","G1924","11067","JEZUS LEEFT","",,,,,
"Goes","G0664","10674","SGP-ChristenUnie","4","https://goes.christenunie.nl/","https://www.facebook.com/SGPCUGOES/","procurios",,
"Goes","G0664","10674","NG (Nieuw Goes)","3",,"https://www.facebook.com/NieuwGoes/",,,
"Goes","G0664","10674","Partij voor Goes","2",,,,,
"Goirle","G0785","10971","Lijst Riel-Goirle","4","http://www.lijstrielgoirle.nl/",,"joomla!","http://www.lijstrielgoirle.nl/index.php?format=feed&type=rss",false
"Goirle","G0785","10971","Pro Actief Goirle","3","http://www.proactiefgoirle.nl/","https://www.facebook.com/ProActiefGoirle/",,,
"Goirle","G0785","10971","Arbeiderspartij Goirle-Riel","1","http://www.arbeiderspartijgoirleriel.nl/","https://www.facebook.com/ArbeiderspartijGoirleRiel/",,,
